ssn,first_name,last_name,email,state,ip_address,domain
146-73-4579,Dorothy,Roberts,droberts0@samsung.com,IA,5.33.178.197,name
357-25-7587,Mary,Day,mday1@deviantart.com,TX,28.241.143.62,gov
542-72-1567,Barbara,Powell,bpowell2@so-net.ne.jp,NY,208.60.45.77,com
693-34-4623,Michelle,Lawrence,mlawrence3@liveinternet.ru,MT,118.95.89.188,com
517-74-7152,Edward,Howard,ehoward4@mediafire.com,AZ,206.217.136.207,name
165-35-2278,Doris,Mason,dmason5@bigcartel.com,IL,182.15.22.66,info
294-38-2915,Martin,Snyder,msnyder6@yahoo.com,CA,121.110.109.64,net
431-41-3149,William,Harris,wharris7@ed.gov,NJ,81.13.62.137,biz
354-99-9928,Janice,Riley,jriley8@sakura.ne.jp,AL,121.87.91.60,com
685-5-3783,Keith,Harrison,kharrison9@washington.edu,CA,12.64.139.169,info
996-82-2687,Carl,Burke,cburkea@intel.com,OH,100.154.194.109,org
680-05-1199,Frances,Martinez,fmartinezb@patch.com,GA,122.221.91.204,net
813-66-0175,Jeffrey,Kim,jkimc@com.com,NY,141.117.90.233,mil
752-19-2908,Theresa,Williamson,twilliamsond@meetup.com,NY,231.36.193.68,net
379-20-5337,Timothy,Rogers,trogerse@ezinearticles.com,CA,96.144.128.35,org
862-90-2710,Anna,Arnold,aarnoldf@exblog.jp,MI,245.32.212.254,net
445-14-7326,Joyce,Lopez,jlopezg@msu.edu,OH,150.209.58.142,mil
912-61-7440,Louise,Alvarez,lalvarezh@msn.com,IN,87.207.93.44,mil
936-43-8113,Roger,Holmes,rholmesi@mtv.com,AL,61.229.83.233,net
567-35-2500,Karen,Gonzalez,kgonzalezj@si.edu,NY,55.189.33.148,net
557-37-3626,Johnny,Porter,jporterk@csmonitor.com,WV,164.209.106.227,name
689-91-0591,Harry,Coleman,hcolemanl@auda.org.au,HI,203.209.218.157,info
168-51-0134,Albert,Webb,awebbm@t.co,FL,102.193.100.9,edu
354-21-3943,Lori,Welch,lwelchn@de.vu,CA,199.223.125.198,gov
423-95-7755,Charles,Bailey,cbaileyo@timesonline.co.uk,TX,151.212.106.132,biz
863-21-9428,Virginia,Butler,vbutlerp@github.io,FL,218.173.169.49,com
