Year,id,vertical
2014,22427064,rec_management
2014,1234537,finan_services
2014,42028356,finan_services
2014,84133352,finan_services
204,85925829,rec_management
2014,48693711,corp_management
2013,4666233,core
2013,78926551,core
203,79661926,potential
2013,89740979,rec_management
2013,77615769,core
2013,66276641,emerging
2012,49272864,corp_management
2012,47346014,emerging
2012,32230320,core
2012,54907154,finan_services
2012,8198211,emerging
2012,86063304,core
2011,73218539,rec_management
2011,50440213,emerging
2011,52292531,corp_management
2011,89843023,emerging
2011,33440353,core
2011,70116896,finan_services
2010,19909851,emerging
2010,78922062,core
2010,84958669,rec_management
2010,32080873,emerging
2010,40483428,finan_services
20f10,57039967,emerging
2009,87734864,corp_management
2009,80247779,finan_services
2009,70436494,potential
2009,82147170,rec_management
2009,44709399,emerging
2009,74540790,core
2008,64196499,corp_management
2008,17978435,emerging
2008,64848118,core
2008,79882557,rec_management
2008,76854554,emerging
2008,86355242,core
2007,80991112,emerging
2007,1667477,core
2007,79822916,pending
2007,9795582,finan_services
2007,67948128,corp_management
2007,96690382,finan_services
2006,57740285,pending
2006,53189145,rec_management
2006,40078306,corp_management
2006,88075659,core
2006,18457831,corp_management
2006,96175408,corp_management
2005,542430,emerging
2005,56616019,potential
2005,51137503,core
2005,69253268,potential
2005,25972199,core
2005,1342974,potential
2004,76443838,emerging
2004,9096518,corp_management
2004,52979747,core
2004,46401148,potential
2004,13466842,potential
2004,75543481,corp_management
2003,27750455,corp_management
2003,51497868,finan_services
2003,60330310,potential
2003,68542031,emerging
2003,62734861,pending
2003,42835137,core
2002,74760668,corp_management
2002,31318175,core
2002,26777295,core
2002,41114607,pending
2002,45169488,potential
2002,89783935,rec_management
2001,60810140,corp_management
2001,14717547,emerging
2001,66752942,core
2001,32662509,potential
2001,23654713,potential
2001,46131098,finan_services
2000,70317288,emerging
2000,54645430,pending
2000,28744179,finan_services
2000,78143031,pending
2000,22147216,corp_management
2000,29861948,core
1999,65496156,potential
1999,43547715,finan_services
1999,22748811,pending
1999,10943857,rec_management
1999,42298205,finan_services
1999,10128914,pending
1998,20359718,potential
1998,4510902,pending
1998,38930221,finan_services
1998,76034768,emerging
1998,42589498,pending
1998,10574242,potential
1997,460498246,rec_management
1997,596544132,corp_management
1997,373952787,emerging
1997,639202861,core
1997,975238103,potential
1997,990580532,potential
1996,176602340,finan_services
1996,98361707,emerging
1996,126807208,pending
1996,193000121,finan_services
1996,597839380,pending
1996,189024346,corp_management
1995,251412567,core
1995,984796636,potential
1995,63203622,finan_services
1995,73683914,pending
1995,838865318,rec_management
1995,261456390,finan_services
1994,970321814,pending
1994,95376454,potential
1994,280616927,pending
1994,180810463,finan_services
1994,60140793,emerging
1994,36508125,pending
1993,727294074,potential
1993,321195103,core
1993,349007648,emerging
1993,346241488,core
1993,501337282,pending
1993,92323576,finan_services
1992,103468142,corp_management
1992,176251832,finan_services
1992,391748365,pending
1992,919359711,rec_management
1992,598939449,corp_management
1992,336184827,core
1991,729312233,corp_management
1991,243238854,corp_management
1991,931074167,emerging
1991,559841538,potential
1991,607323002,core
1991,273950674,potential
1990,694930652,core
1990,775459343,potential
1990,237610105,emerging
1990,585286221,corp_management
1990,860778904,core
1990,863461813,potential
